"sigla_tribunal","procedimento","ramo_justica","sigla_grau","uf_oj","municipio_oj","id_ultimo_oj","nome","mesano_cnm1","mesano_sent","casos_novos_2026","julgados_2026","prim_sent2026","suspensos_2026","dessobrestados_2026","cumprimento_meta1","distm2_a","julgm2_a","suspm2_a","cumprimento_meta2a","distm2_ant","julgm2_ant","suspm2_ant","desom2_ant","cumprimento_meta2ant","distm4_a","julgm4_a","suspm4_a","cumprimento_meta4a","distm4_b","julgm4_b","suspm4_b","cumprimento_meta4b"
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","ESPERA FELIZ",15971,"303ª ZONA ELEITORAL - ESPERA FELIZ",NA,NA,0,0,0,0,0,0,132,132,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","ESPINOSA",15777,"109ª ZONA ELEITORAL - ESPINOSA",NA,NA,0,0,0,0,0,0,93,93,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","ESTRELA DO SUL",15778,"110ª ZONA ELEITORAL - ESTRELA DO SUL",NA,NA,0,0,0,0,0,0,96,95,0,141.369047619048,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","EUGENOPOLIS",15779,"111ª ZONA ELEITORAL - EUGENÓPOLIS",NA,NA,0,0,0,0,0,0,124,121,0,139.400921658986,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","EXTREMA",15780,"112ª ZONA ELEITORAL - EXTREMA",NA,NA,0,0,0,0,0,0,2,2,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","FERROS",15781,"113ª ZONA ELEITORAL - FERROS",NA,NA,0,0,0,0,0,0,1,1,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","FORMIGA",15782,"114ª ZONA ELEITORAL - FORMIGA",NA,NA,0,0,0,0,0,0,213,213,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","FRANCISCO SA",15783,"115ª ZONA ELEITORAL - FRANCISCO SÁ",NA,NA,0,0,0,0,0,0,214,214,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","FRUTAL",15784,"116ª ZONA ELEITORAL - FRUTAL",NA,NA,0,0,0,0,0,0,280,279,0,142.34693877551,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","GALILEIA",15785,"117ª ZONA ELEITORAL - GALILÉIA",NA,NA,0,0,0,0,0,0,174,171,0,140.394088669951,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","GOVERNADOR VALADARES",15786,"118ª ZONA ELEITORAL - GOVERNADOR VALADARES",NA,NA,0,0,0,0,0,0,54,54,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","GOVERNADOR VALADARES",15787,"119ª ZONA ELEITORAL - GOVERNADOR VALADARES",NA,NA,0,0,0,0,0,0,19,19,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","GOVERNADOR VALADARES",15986,"318ª ZONA ELEITORAL - GOVERNADOR VALADARES",NA,NA,0,0,0,0,0,0,143,143,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
